Collision num: 8, Failure num: 0, Success num:2, Avg-steps: 102.5
Collision num: 8, Failure num: 0, Success num:2, Avg-steps: 102.5
Collision num: 7, Failure num: 0, Success num:3, Avg-steps: 102.66666666666667
Collision num: 5, Failure num: 0, Success num:5, Avg-steps: 102.6
Collision num: 8, Failure num: 0, Success num:2, Avg-steps: 103.0
Collision num: 6, Failure num: 0, Success num:4, Avg-steps: 42.5
Collision num: 5, Failure num: 0, Success num:5, Avg-steps: 42.2
Collision num: 4, Failure num: 0, Success num:6, Avg-steps: 42.333333333333336
Collision num: 4, Failure num: 0, Success num:6, Avg-steps: 42.0
Collision num: 5, Failure num: 0, Success num:5, Avg-steps: 42.6
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 136.3
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 138.9
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 134.8
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 129.0
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 125.0
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 92.8
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 65.5
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 96.9
Collision num: 0, Failure num: 1, Success num:9, Avg-steps: 86.22222222222223
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 100.2
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 6, Failure num: 0, Success num:4, Avg-steps: 52.5
Collision num: 7, Failure num: 0, Success num:3, Avg-steps: 52.666666666666664
Collision num: 7, Failure num: 0, Success num:3, Avg-steps: 52.666666666666664
Collision num: 5, Failure num: 0, Success num:5, Avg-steps: 52.4
Collision num: 6, Failure num: 0, Success num:4, Avg-steps: 52.25
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 10, Failure num: 0, Success num:0, Avg-steps: 0
Collision num: 6, Failure num: 0, Success num:4, Avg-steps: 102.5
Collision num: 8, Failure num: 0, Success num:2, Avg-steps: 102.0
Collision num: 7, Failure num: 0, Success num:3, Avg-steps: 102.33333333333333
Collision num: 5, Failure num: 0, Success num:5, Avg-steps: 42.2
Collision num: 10, Failure num: 0, Success num:0, Avg-steps: 0
Collision num: 8, Failure num: 0, Success num:2, Avg-steps: 42.0
Collision num: 5, Failure num: 0, Success num:5, Avg-steps: 42.6
Collision num: 4, Failure num: 0, Success num:6, Avg-steps: 42.666666666666664
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 134.6
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 135.6
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 136.9
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 136.8
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 125.0
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 48.3
Collision num: 0, Failure num: 1, Success num:9, Avg-steps: 88.44444444444444
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 69.4
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 91.7
Collision num: 0, Failure num: 1, Success num:9, Avg-steps: 96.55555555555556
Collision num: 5, Failure num: 0, Success num:5, Avg-steps: 102.4
Collision num: 8, Failure num: 0, Success num:2, Avg-steps: 102.0
Collision num: 6, Failure num: 0, Success num:4, Avg-steps: 102.0
Collision num: 4, Failure num: 0, Success num:6, Avg-steps: 102.83333333333333
Collision num: 8, Failure num: 0, Success num:2, Avg-steps: 102.0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 1, Failure num: 9, Success num:0, Avg-steps: 0
Collision num: 6, Failure num: 0, Success num:4, Avg-steps: 104.5
Collision num: 6, Failure num: 0, Success num:4, Avg-steps: 89.5
Collision num: 4, Failure num: 0, Success num:6, Avg-steps: 71.0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 9, Failure num: 0, Success num:1, Avg-steps: 104.0
Collision num: 7, Failure num: 0, Success num:3, Avg-steps: 70.33333333333333
Collision num: 6, Failure num: 0, Success num:4, Avg-steps: 43.75
Collision num: 4, Failure num: 0, Success num:6, Avg-steps: 42.166666666666664
Collision num: 4, Failure num: 0, Success num:6, Avg-steps: 42.333333333333336
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 136.6
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 143.4
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 133.0
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 140.3
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 133.8
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 95.2
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 55.8
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 69.7
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 110.1
Collision num: 0, Failure num: 0, Success num:10, Avg-steps: 99.5
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 0, Failure num: 10, Success num:0, Avg-steps: 0
Collision num: 1, Failure num: 5, Success num:4, Avg-steps: 482.25
Collision num: 6, Failure num: 0, Success num:4, Avg-steps: 366.75
Collision num: 0, Failure num: 9, Success num:1, Avg-steps: 149.0
Collision num: 3, Failure num: 0, Success num:7, Avg-steps: 42.714285714285715
Collision num: 8, Failure num: 0, Success num:2, Avg-steps: 52.0
Collision num: 2, Failure num: 0, Success num:8, Avg-steps: 42.5
Collision num: 2, Failure num: 0, Success num:8, Avg-steps: 42.25
Collision num: 4, Failure num: 0, Success num:6, Avg-steps: 42.333333333333336
